,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
79,FR,MINI Cooper,4490.0,166913 ,2004,91 hp,Gasoline,Manual,- (,- (
80,FR,MINI Cooper,4490.0,165880 ,2003,95 hp,Gasoline,Manual,- (,- (
81,FR,MINI One,4490.0,209751 ,2002,174 hp,Gasoline,Manual,158 ,- (
82,,,,,,122 hp,,,,
83,,,,,,166 hp,,,,
84,FR,MINI One,5900.0,138000 ,2008,117 hp,Gasoline,Manual,128 ,- (
85,,,,,,109 hp,,,,
86,,,,,,- hp,,,,
87,FR,MINI Cooper S,6600.0,158600 ,2007,91 hp,Gasoline,Manual,149 ,6.2 
88,FR,MINI Cooper,6690.0,130000 ,2010,211 hp,Gasoline,Manual,129 ,- (
89,FR,MINI Cooper S,6690.0,174500 ,2003,90 hp,Gasoline,Manual,202 ,- (
90,,,,,,98 hp,,,,
91,,,,,,91 hp,,,,
92,,,,,,- hp,,,,
93,FR,MINI Cooper,7900.0,133600 ,2005,- hp,Gasoline,Manual,175 ,- (
94,FR,MINI Cooper,7900.0,148000 ,2007,- hp,Diesel,Manual,104 ,3.9 
95,FR,MINI Cooper,7900.0,136500 ,2007,91 hp,Gasoline,Manual,- (,- (
96,FR,MINI One D,7980.0,164000 ,2010,90 hp,Diesel,Manual,104 ,- (
97,FR,MINI John Cooper Works,7990.0,230000 ,2006,- hp,Gasoline,Manual,- (,- (
98,FR,MINI One,7990.0,170000 ,2010,- hp,Diesel,Manual,- (,- (
99,FR,MINI One,7990.0,89000 ,2012,174 hp,Gasoline,Manual,- (,- (
100,FR,MINI One D,7990.0,154000 ,2013,91 hp,Diesel,Manual,99 ,- (
101,FR,MINI Cooper S,7990.0,117384 ,2004,122 hp,Gasoline,Manual,- (,- (
102,FR,MINI One,7990.0,118000 ,2010,117 hp,Gasoline,- (Gearing Type),- (,- (
103,FR,MINI Cooper,7990.0,83500 ,2007,111 hp,Gasoline,Manual,- (,- (
104,FR,MINI One D,8400.0,131302 ,2013,91 hp,Diesel,Manual,99 ,- (
105,FR,MINI One D,8490.0,158076 ,2013,184 hp,Diesel,Manual,99 ,3.8 
106,FR,MINI Cooper,8490.0,136907 ,2009,184 hp,Gasoline,Manual,- (,- (
107,FR,MINI One,8490.0,109800 ,2009,91 hp,Gasoline,- (Gearing Type),- (,- (
108,FR,MINI Cooper S,8499.0,178000 ,2009,122 hp,Gasoline,Manual,- (,- (
109,,,,,,75 hp,,,,
110,FR,MINI One D,8680.0,162616 ,2014,122 hp,Diesel,Manual,99 ,- (
111,FR,MINI Cooper,8700.0,142967 ,2010,120 hp,Gasoline,Manual,137 ,- (
112,FR,MINI Cooper,8790.0,157500 ,2007,120 hp,Gasoline,Manual,175 ,- (
113,FR,MINI Cooper,8890.0,153626 ,2008,170 hp,Diesel,Manual,104 ,- (
114,FR,MINI One D,8900.0,145976 ,2012,124 hp,Diesel,Manual,99 ,- (
115,FR,MINI Cooper S,8900.0,164000 ,2011,114 hp,Gasoline,Manual,- (,- (
116,,,,,,,,,,
117,FR,MINI Cooper S,8990.0,149887 ,2011,,- (Fuel),Manual,- (,- (
118,FR,MINI One D,8990.0,102117 ,2011,,Diesel,Manual,99 ,- (
119,FR,MINI Cooper,8990.0,119000 ,2013,,Gasoline,Manual,150 ,6.4 
120,FR,MINI One,8990.0,39335 ,2010,,Gasoline,Manual,- (,- (
121,FR,MINI Cooper,8990.0,124776 ,2010,,Gasoline,Manual,137 ,- (
122,FR,MINI Cooper,8990.0,56000 ,2008,,Gasoline,Manual,- (,- (
123,FR,MINI Cooper,8990.0,56000 ,2008,,Gasoline,Manual,- (,- (
124,FR,MINI Cooper S,8990.0,129500 ,2005,,Gasoline,Automatic,207 ,8.6 
