,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
346,IT,MINI Cooper D Countryman,16500.0,91761 ,2015,102 hp,Diesel,Manual,115 ,4.4 
347,IT,MINI Cooper D Countryman,16700.0,89948 ,2015,98 hp,Diesel,Automatic,158 ,6 
348,IT,MINI John Cooper Works,16790.0,88405 ,2013,143 hp,Gasoline,Manual,153 ,6.6 
349,IT,MINI One D Clubman,16800.0,51199 ,2017,116 hp,Diesel,Manual,99 ,3.8 
350,IT,MINI Cooper D Clubman,16800.0,108363 ,2017,143 hp,Diesel,Automatic,109 ,4.1 
351,IT,MINI Cooper D,16900.0,87136 ,2017,95 hp,Diesel,Manual,92 ,3.5 
352,IT,MINI One,16900.0,26310 ,2019,143 hp,Gasoline,Manual,109 ,4.8 
353,IT,MINI One Countryman,16900.0,45300 ,2016,136 hp,Gasoline,Manual,134 ,5.7 
354,,,,,,102 hp,,,,
355,IT,MINI Cooper SD Countryman,16900.0,85000 ,2015,122 hp,Diesel,Automatic,126 ,4.8 
356,IT,MINI Cooper D Clubman,16900.0,76500 ,2015,111 hp,Diesel,Manual,104 ,3.9 
357,IT,MINI Cooper SD Countryman,16900.0,111400 ,2014,170 hp,Diesel,Automatic,130 ,4.9 
358,,,,,,102 hp,,,,
359,IT,MINI Cooper D,17200.0,38022 ,2016,116 hp,Diesel,Manual,92 ,3.5 
360,IT,MINI Cooper SD Countryman,17400.0,93541 ,2016,116 hp,Diesel,Manual,126 ,4.8 
361,IT,MINI Cooper,17490.0,41767 ,2017,102 hp,Gasoline,Manual,105 ,4.5 
362,IT,MINI One Clubman,17690.0,34034 ,2017,116 hp,Gasoline,Manual,119 ,5.1 
363,IT,MINI Cooper Countryman,17800.0,70511 ,2015,111 hp,Gasoline,Automatic,175 ,7.5 
364,IT,MINI Cooper Countryman,17890.0,73818 ,2016,102 hp,Diesel,Automatic,148 ,5.6 
365,IT,MINI Cooper SD,17900.0,120000 ,2016,102 hp,Diesel,Automatic,109 ,4.1 
366,IT,MINI One,17900.0,44980 ,2018,75 hp,Gasoline,Manual,111 ,4.9 
367,IT,MINI One D Clubman,17900.0,56416 ,2017,111 hp,Diesel,Automatic,104 ,3.9 
368,IT,MINI Cooper D,17900.0,62500 ,2017,75 hp,Diesel,Manual,95 ,3.6 
369,IT,MINI One,17900.0,33000 ,2018,75 hp,Gasoline,Manual,116 ,5 
370,IT,MINI Cooper D Cabrio,17900.0,97714 ,2016,102 hp,Diesel,Manual,100 ,3.8 
371,IT,MINI Cooper D Countryman,17900.0,101000 ,2016,143 hp,Diesel,Automatic,149 ,5.6 
372,IT,MINI One Clubman,17900.0,27600 ,2018,102 hp,Gasoline,Manual,131 ,5.8 
373,IT,MINI One,18190.0,28800 ,2018,102 hp,Gasoline,Manual,123 ,5.4 
374,IT,MINI One,18490.0,31000 ,2018,102 hp,Gasoline,Manual,105 ,4.6 
375,IT,MINI Cooper D Countryman,18490.0,48060 ,2016,150 hp,Diesel,Automatic,149 ,5.6 
376,,,,,,116 hp,,,,
377,IT,MINI One,18700.0,15030 ,2018,116 hp,Gasoline,Manual,122 ,5.4 
378,IT,MINI One D,18900.0,23208 ,2018,102 hp,Gasoline,Manual,116 ,5.2 
379,IT,MINI One,18900.0,48165 ,2018,102 hp,Gasoline,Manual,111 ,4.9 
380,IT,MINI Cooper SD Countryman,18900.0,55217 ,2015,102 hp,Diesel,Automatic,119 ,4.5 
381,IT,MINI One,18900.0,29221 ,2019,95 hp,Gasoline,Manual,122 ,5.4 
382,IT,MINI One,18950.0,23900 ,2019,116 hp,Gasoline,Manual,122 ,5.4 
383,IT,MINI One,18990.0,16800 ,2020,102 hp,Gasoline,Manual,111 ,4.9 
384,IT,MINI Cooper D Countryman,19200.0,105000 ,2017,192 hp,Diesel,Manual,113 ,4.3 
385,IT,MINI Cooper,19200.0,22103 ,2017,102 hp,Diesel,Automatic,99 ,3.8 
386,IT,MINI Cooper D,19300.0,51423 ,2017,102 hp,Diesel,Automatic,99 ,3.8 
387,IT,MINI One D,19400.0,37209 ,2018,143 hp,Gasoline,Manual,116 ,5 
388,IT,MINI One,19400.0,35616 ,2019,75 hp,Gasoline,Manual,122 ,5.4 
389,IT,MINI One,19400.0,38097 ,2018,116 hp,Gasoline,Manual,117 ,5.1 
390,IT,MINI John Cooper Works,19400.0,51300 ,2018,116 hp,Diesel,Manual,99 ,3.8 
391,IT,MINI Cooper D,19450.0,83251 ,2017,136 hp,Diesel,Automatic,102 ,3.9 
392,IT,MINI One,19490.0,40000 ,2018,190 hp,Gasoline,Automatic,116 ,5 
393,IT,MINI Cooper S,19500.0,49878 ,2014,102 hp,Gasoline,Automatic,122 ,5.2 
394,IT,MINI One Clubman,19500.0,37800 ,2018,102 hp,Gasoline,Manual,131 ,5.8 
395,IT,MINI One Clubman,19690.0,50135 ,2018,102 hp,Gasoline,Automatic,119 ,5.1 
396,IT,MINI Cooper SD Countryman,19790.0,109993 ,2015,192 hp,Diesel,Manual,119 ,4.5 
397,IT,MINI One,19800.0,24550 ,2019,102 hp,Gasoline,Manual,123 ,5.4 
398,IT,MINI Cooper D Cabrio,19800.0,118988 ,2018,116 hp,Diesel,Automatic,111 ,4.2 
399,IT,MINI Cooper D,19800.0,41500 ,2018,218 hp,Diesel,Automatic,103 ,3.9 
400,IT,MINI Cooper,19900.0,15700 ,2017,102 hp,Gasoline,Manual,105 ,4.5 
401,IT,MINI Cooper SD Countryman,19900.0,195000 ,2017,150 hp,Diesel,Automatic,129 ,4.9 
402,IT,MINI One Countryman,19900.0,19000 ,2018,,Gasoline,Manual,134 ,5.9 
